,PersonId,Start_time,End_time,Total_time
166,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 00:32:29.030000000,0 days 00:32:37.246666000,0 days 00:00:08.216666000
167,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 00:35:14.780000000,0 days 00:35:41.471666000,0 days 00:00:26.691666000
168,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 00:36:22.846666000,0 days 00:36:38.110000000,0 days 00:00:15.263334000
169,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 00:37:07.725000000,0 days 00:38:25.885000000,0 days 00:01:18.160000000
170,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 00:50:54.468333000,0 days 00:51:41.680000000,0 days 00:00:47.211667000
171,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:07:12.278333000,0 days 01:07:15.738333000,0 days 00:00:03.460000000
172,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:07:28.668333000,0 days 01:07:31.750000000,0 days 00:00:03.081667000
173,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:07:45.851666000,0 days 01:07:55.278333000,0 days 00:00:09.426667000
174,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:08:05.455000000,0 days 01:08:18.720000000,0 days 00:00:13.265000000
175,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:21:12.116666000,0 days 01:21:13.783333000,0 days 00:00:01.666667000
176,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:25:24.536666000,0 days 01:26:04.820000000,0 days 00:00:40.283334000
177,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:34:57.520000000,0 days 01:35:03.781666000,0 days 00:00:06.261666000
178,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:35:43.026666000,0 days 01:35:43.190000000,0 days 00:00:00.163334000
179,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:40:51.628333000,0 days 01:41:02.930000000,0 days 00:00:11.301667000
180,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:41:21.570000000,0 days 01:41:21.908333000,0 days 00:00:00.338333000
181,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:41:51.188333000,0 days 01:41:51.563333000,0 days 00:00:00.375000000
182,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:42:57.671666000,0 days 01:42:59.960000000,0 days 00:00:02.288334000
183,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:43:14.350000000,0 days 01:43:20.651666000,0 days 00:00:06.301666000
184,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:43:56.896666000,0 days 01:44:04.738333000,0 days 00:00:07.841667000
185,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:44:39.023333000,0 days 01:44:41.941666000,0 days 00:00:02.918333000
186,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:46:01.771666000,0 days 01:46:13.698333000,0 days 00:00:11.926667000
187,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:46:29.383333000,0 days 01:46:58.953333000,0 days 00:00:29.570000000
188,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:48:44.768333000,0 days 01:49:00.820000000,0 days 00:00:16.051667000
189,1c6d2a07-e193-445a-a89a-8904e1cf78ea,0 days 01:49:16.966666000,0 days 01:49:22.596666000,0 days 00:00:05.630000000
